::ffff:127.0.0.1 - - [11/Dec/2022:16:44:55 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:46:47 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:47:06 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:49:22 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:49:58 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:51:20 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:52:46 +0000] "GET /api/user/s HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:52:47 +0000] "GET /api/user/s HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:56:55 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:56:56 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:03:44 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:04:42 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:04:47 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:08:27 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:09:02 +0000] "GET /api/users HTTP/1.1" 200 867 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:13:47 +0000] "GET /api/user/get-all HTTP/1.1" 200 867 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:14:12 +0000] "GET /api/user/get-all HTTP/1.1" 200 867 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:14:30 +0000] "GET /api/user/get-all HTTP/1.1" 200 699 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:17:25 +0000] "GET /api/user/get-by-role HTTP/1.1" 404 159 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:18:12 +0000] "GET /api/user/get-by-role HTTP/1.1" 200 256 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:18:32 +0000] "GET /api/user/get-by-role HTTP/1.1" 200 256 "-" "Thunder Client (https://www.thunderclient.com)"
